"miRNA_cluster"	"subype/class"	"sign(up/down)"	"members"	"found"	"pval"	"fold_change"
"cl88_chr1"	"2"	"down"	"MI0000270/MI0000289"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0.066/0.029/0/0.016"	"-0.38910355570833/-0.385124163078384/-0.662908327641996/-0.397308106463138"
"cl88_chr1"	"3"	"up"	"MI0000270/MI0000289"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0/0/0/0"	"1.18691935610576/1.38966385128338/0.693659617890445/1.14987165104657"
"cl88_chr1"	"4"	"down"	"MI0000270/MI0000289"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0.002/0/0.017/0"	"-0.861228663828727/-1.16831078356611/0.428273183556384/-0.793649870320132"
"cl92_chr1"	"2"	"down"	"MI0000735/MI0000107"	"hsa-miR-29c-3p/hsa-miR-29b-3p/hsa-miR-29c-5p/hsa-miR-29b-2-5p"	"0/0.002/0/0"	"-1.4487116634491/-0.945259445745041/-1.15074430879602/-0.817798216189461"
"cl92_chr1"	"3"	"up"	"MI0000735/MI0000107"	"hsa-miR-29c-3p/hsa-miR-29b-3p/hsa-miR-29c-5p/hsa-miR-29b-2-5p"	"0.091/0.013/0.092/0.039"	"0.338722459047932/0.458005019812996/0.457666507591177/0.464106811671198"
"cl92_chr1"	"4"	"up"	"MI0000735/MI0000107"	"hsa-miR-29c-3p/hsa-miR-29b-3p/hsa-miR-29c-5p/hsa-miR-29b-2-5p"	"0.028/0.055/0/0"	"0.694740928481605/0.200358902359485/0.477647227660201/0.291250015084201"
"cl96_chr1"	"1"	"up"	"MI0000291/MI0000488"	"hsa-miR-194-5p/hsa-miR-215-5p/hsa-miR-194-3p/hsa-miR-215-3p"	"0.001/0.352/0.021/0.546"	"0.639100552825865/0.21518014715184/0.299331124069161/-0.0049907432672161"
"cl96_chr1"	"2"	"down"	"MI0000291/MI0000488"	"hsa-miR-194-5p/hsa-miR-215-5p/hsa-miR-194-3p/hsa-miR-215-3p"	"0.048/0.013/0.196/0.218"	"-0.371394492048573/-0.401556997293367/-0.0237990640593905/-0.0188716328606977"
"cl201_chr11"	"1"	"up"	"MI0000234/MI0000732"	"hsa-miR-192-5p/hsa-miR-194-5p/hsa-miR-194-3p/hsa-miR-192-3p"	"0.005/0.001/0.014/0"	"0.563803730704189/0.639100552825865/0.299331124069161/0.501912259036882"
"cl201_chr11"	"2"	"down"	"MI0000234/MI0000732"	"hsa-miR-192-5p/hsa-miR-194-5p/hsa-miR-194-3p/hsa-miR-192-3p"	"0.022/0.076/0.205/0.003"	"-0.425113844600232/-0.371394492048573/-0.0237990640593905/-0.307034459737166"
"cl201_chr11"	"4"	"up"	"MI0000234/MI0000732"	"hsa-miR-192-5p/hsa-miR-194-5p/hsa-miR-194-3p/hsa-miR-192-3p"	"0.03/0.011/0.646/0.317"	"0.252840110958959/0.189201696982839/-0.0346462972007266/0.0688923930370209"
"cl233_chr11"	"1"	"up"	"MI0000061/MI0000102"	"hsa-let-7a-5p/hsa-miR-100-5p/hsa-let-7a-3p/hsa-let-7a-2-3p/hsa-miR-100-3p"	"0.076/0/0.89/0/0"	"-0.554816728541457/1.5369882075679/-0.018278564933319/1.3114265381122/1.13920754822099"
"cl233_chr11"	"3"	"down"	"MI0000061/MI0000102"	"hsa-let-7a-5p/hsa-miR-100-5p/hsa-let-7a-3p/hsa-let-7a-2-3p/hsa-miR-100-3p"	"0.001/0/0.951/0/0"	"-0.805966464344957/-1.80486945175781/0.0401237662816929/-1.0028388015023/-0.694990518484162"
"cl233_chr11"	"4"	"up"	"MI0000061/MI0000102"	"hsa-let-7a-5p/hsa-miR-100-5p/hsa-let-7a-3p/hsa-let-7a-2-3p/hsa-miR-100-3p"	"0/0.032/0.608/0.088/0.784"	"1.085990731105/1.08513190364678/0.0245953021144875/0.319853830492393/0.0495861670190152"
"cl260_chr12"	"1"	"up"	"MI0016417/MI0016418"	"hsa-miR-3913-5p/hsa-miR-3913-3p"	"0.01/0.009"	"0.237186371808297/0.237186371808297"
"cl260_chr12"	"2"	"down"	"MI0016417/MI0016418"	"hsa-miR-3913-5p/hsa-miR-3913-3p"	"0.001/0.002"	"-0.345616556036759/-0.345616556036759"
"cl298_chr13"	"2"	"up"	"MI0000070/MI0000069"	"hsa-miR-16-5p/hsa-miR-15a-5p/hsa-miR-16-1-3p/hsa-miR-15a-3p"	"0.59/0.017/0.004/0.001"	"-0.260267225291452/-0.60737414521508/0.248014382861538/0.317926096805875"
"cl298_chr13"	"4"	"down"	"MI0000070/MI0000069"	"hsa-miR-16-5p/hsa-miR-15a-5p/hsa-miR-16-1-3p/hsa-miR-15a-3p"	"0.135/0/0.004/0.026"	"0.28247806456837/0.635878008969274/-0.28825915019781/-0.237828463137557"
"cl310_chr13"	"1"	"up"	"MI0000071/MI0000072/MI0000073/MI0000076/MI0000074/MI0000093"	"hsa-miR-92a-3p/hsa-miR-20a-5p/hsa-miR-17-5p/hsa-miR-19b-3p/hsa-miR-19a-3p/hsa-miR-18a-5p/hsa-miR-18a-3p/hsa-miR-92a-1-5p/hsa-miR-17-3p/hsa-miR-19b-1-5p/hsa-miR-20a-3p/hsa-miR-19a-5p"	"0.068/0.075/0.013/0.062/0.025/0.007/0.048/0.025/0.045/0.008/0.122/0.013"	"0.311053918302106/0.447034165481401/0.529222266604883/0.599215515462026/0.483866744573813/0.677052112339692/0.431888185058028/0.377768477201576/0.640291792072122/0.543852426214417/0.527748774222696/0.0828915323307922"
"cl310_chr13"	"2"	"up"	"MI0000071/MI0000072/MI0000073/MI0000076/MI0000074/MI0000093"	"hsa-miR-92a-3p/hsa-miR-20a-5p/hsa-miR-17-5p/hsa-miR-19b-3p/hsa-miR-19a-3p/hsa-miR-18a-5p/hsa-miR-18a-3p/hsa-miR-92a-1-5p/hsa-miR-17-3p/hsa-miR-19b-1-5p/hsa-miR-20a-3p/hsa-miR-19a-5p"	"0/0/0.008/0.415/0.062/0.242/0/0/0.03/0.034/0.227/0.06"	"0.987432335394751/0.557030682552423/0.444018891655462/-0.329443533854906/-0.142624038160408/0.0267621951043591/0.481918169746697/0.681107619385395/0.284108494775778/0.150444214385919/0.0984318932906137/0.0600259357467442"
"cl310_chr13"	"3"	"up"	"MI0000071/MI0000072/MI0000073/MI0000076/MI0000074/MI0000093"	"hsa-miR-92a-3p/hsa-miR-20a-5p/hsa-miR-17-5p/hsa-miR-19b-3p/hsa-miR-19a-3p/hsa-miR-18a-5p/hsa-miR-18a-3p/hsa-miR-92a-1-5p/hsa-miR-17-3p/hsa-miR-19b-1-5p/hsa-miR-20a-3p/hsa-miR-19a-5p"	"0.143/0.044/0.029/0.12/0.167/0.009/0.002/0.514/0.202/0.84/0.568/0.762"	"0.474713695988234/0.512331477099613/0.569400523858276/0.420828893962611/0.540506536338802/1.04931136328543/0.803553648212433/0.199947616528698/0.169883183767355/0.144797989396584/0.0688443171294458/0.0782272099615376"
"cl310_chr13"	"4"	"down"	"MI0000071/MI0000072/MI0000073/MI0000076/MI0000074/MI0000093"	"hsa-miR-92a-3p/hsa-miR-20a-5p/hsa-miR-17-5p/hsa-miR-19b-3p/hsa-miR-19a-3p/hsa-miR-18a-5p/hsa-miR-18a-3p/hsa-miR-92a-1-5p/hsa-miR-17-3p/hsa-miR-19b-1-5p/hsa-miR-20a-3p/hsa-miR-19a-5p"	"0/0/0/0/0/0/0/0/0/0/0/0"	"-1.51283684068344/-1.26344116450833/-1.27347407758704/-0.502860311790723/-0.712795301019368/-1.48488875566024/-1.48088393810824/-1.01547714273273/-0.804216732259239/-0.605496058358894/-0.475031134718023/-0.180324026007972"
"cl343_chr14"	"1"	"down"	"MI0003772/MI0000805"	"hsa-miR-342-3p/hsa-miR-342-5p/hsa-miR-151b"	"0.009/0/0.657"	"-0.730500409304655/-0.959635210619592/0.0121984650213321"
"cl343_chr14"	"2"	"down"	"MI0003772/MI0000805"	"hsa-miR-342-3p/hsa-miR-342-5p/hsa-miR-151b"	"0/0.002/0.082"	"-0.931885028737773/-0.404073110492095/-0.387375669666053"
"cl343_chr14"	"4"	"up"	"MI0003772/MI0000805"	"hsa-miR-342-3p/hsa-miR-342-5p/hsa-miR-151b"	"0/0/0.409"	"0.847937768395687/0.357842850162557/0.209735113771926"
"cl347_chr14"	"1"	"down"	"MI0003132/MI0000806/MI0005563/MI0001721/MI0001723/MI0000472/MI0003133/MI0000475"	"hsa-miR-127-3p/hsa-miR-493-5p/hsa-miR-136-3p/hsa-miR-432-5p/hsa-miR-433-3p/hsa-miR-493-3p/hsa-miR-136-5p/hsa-miR-127-5p/hsa-miR-337-3p/hsa-miR-431-5p/hsa-miR-337-5p/hsa-miR-431-3p/hsa-miR-665/hsa-miR-433-5p/hsa-miR-432-3p"	"0/0.005/0/0/0/0/0.001/0/0/0.012/0.001/0.002/0.009/0.001/0.002"	"-1.55836301653513/-1.34961582853353/-1.3997589504534/-1.69382950728077/-1.7522630927888/-1.15401218771637/-1.33380283787452/-1.28709289389262/-1.34924400158606/-0.547313195730263/-0.701349909869781/-0.801707344160692/-0.473282866756229/-0.62032179387484/-0.468721213914916"
"cl347_chr14"	"2"	"up"	"MI0003132/MI0000806/MI0005563/MI0001721/MI0001723/MI0000472/MI0003133/MI0000475"	"hsa-miR-127-3p/hsa-miR-493-5p/hsa-miR-136-3p/hsa-miR-432-5p/hsa-miR-433-3p/hsa-miR-493-3p/hsa-miR-136-5p/hsa-miR-127-5p/hsa-miR-337-3p/hsa-miR-431-5p/hsa-miR-337-5p/hsa-miR-431-3p/hsa-miR-665/hsa-miR-433-5p/hsa-miR-432-3p"	"0.083/0/0.087/0.235/0.322/0/0.189/0.136/0.004/0.047/0.073/0.092/0.326/0.119/0.099"	"0.368110798012941/1.05255869875123/-0.0420487294667211/0.0347075797482292/0.0921833857941433/0.902070785974935/0.00945505069380702/-0.177111752288458/0.531262200394323/0.201935067764077/0.259488318069305/-0.196600696639042/0.139198704581205/-0.328384188057075/-0.211954602650944"
"cl347_chr14"	"3"	"down"	"MI0003132/MI0000806/MI0005563/MI0001721/MI0001723/MI0000472/MI0003133/MI0000475"	"hsa-miR-127-3p/hsa-miR-493-5p/hsa-miR-136-3p/hsa-miR-432-5p/hsa-miR-433-3p/hsa-miR-493-3p/hsa-miR-136-5p/hsa-miR-127-5p/hsa-miR-337-3p/hsa-miR-431-5p/hsa-miR-337-5p/hsa-miR-431-3p/hsa-miR-665/hsa-miR-433-5p/hsa-miR-432-3p"	"0.128/0.806/0.009/0.105/0.168/0.492/0.288/0.012/0.063/0.212/0.401/0.025/0.686/0.166/0.02"	"-0.448361764733626/0.255549704926909/-0.596744285103566/-0.45884092298602/-0.238412643438142/0.302815281558462/-0.40674973236382/-0.496362248597222/-0.243250697426042/0.271570927378848/-0.0976417983870286/-0.351919812769592/0.199340700117968/-0.110300021315296/-0.233265026755004"
"cl347_chr14"	"4"	"up"	"MI0003132/MI0000806/MI0005563/MI0001721/MI0001723/MI0000472/MI0003133/MI0000475"	"hsa-miR-127-3p/hsa-miR-493-5p/hsa-miR-136-3p/hsa-miR-432-5p/hsa-miR-433-3p/hsa-miR-493-3p/hsa-miR-136-5p/hsa-miR-127-5p/hsa-miR-337-3p/hsa-miR-431-5p/hsa-miR-337-5p/hsa-miR-431-3p/hsa-miR-665/hsa-miR-433-5p/hsa-miR-432-3p"	"0.002/0.313/0/0/0/0.276/0/0/0/0.373/0.015/0/0.393/0/0"	"1.08164401089235/-0.337670191153627/1.48585802242157/1.46119145263911/1.22697786843948/-0.374806186366012/1.21141040250361/1.43288989293593/0.608892807428678/-0.111589897590473/0.302029126373117/1.00941394929169/-0.0305578399378632/0.770513776069326/0.701040503137561"
"cl349_chr14"	"1"	"down"	"MI0000787/MI0003675/MI0000744/MI0000788/MI0006656/MI0000807/MI0003757/MI0001725/MI0001726/MI0003134/MI0014205/MI0005565/MI0003135/MI0000776/MI0003529/MI0003676/MI0002466/MI0000784/MI0005525/MI0003844/MI0003821/MI0000789/MI0003530/MI0003514/MI0005540/MI0003515/MI0003677/MI0002471/MI0000790/MI0000474/MI0003761/MI0002469/MI0014206/MI0000480/MI0003136/MI0000785/MI0005539/MI0001735/MI0002464/MI0000777/MI0002465/MI0003678"	"hsa-miR-381-3p/hsa-miR-379-5p/hsa-miR-409-3p/hsa-miR-411-5p/hsa-miR-543/hsa-miR-654-3p/hsa-miR-323a-3p/hsa-miR-495-3p/hsa-miR-487b-3p/hsa-miR-134-5p/hsa-miR-889-3p/hsa-miR-382-5p/hsa-miR-323b-3p/hsa-miR-485-3p/hsa-miR-409-5p/hsa-miR-329-3p/hsa-miR-369-3p/hsa-miR-758-3p/hsa-miR-485-5p/hsa-miR-376c-3p/hsa-miR-411-3p/hsa-miR-654-5p/hsa-miR-369-5p/hsa-miR-382-3p/hsa-miR-539-3p/hsa-miR-410-3p/hsa-miR-379-3p/hsa-miR-656-3p/hsa-miR-376a-3p/hsa-miR-1185-1-3p/hsa-miR-299-5p/hsa-miR-412-5p/hsa-miR-655-3p/hsa-miR-487a-3p/hsa-miR-299-3p/hsa-miR-1197/hsa-miR-377-3p/hsa-miR-154-5p/hsa-miR-487a-5p/hsa-miR-377-5p/hsa-miR-539-5p/hsa-miR-380-3p/hsa-miR-1185-2-3p/hsa-miR-376a-5p/hsa-miR-154-3p/hsa-miR-376b-3p/hsa-miR-494-3p/hsa-miR-668-3p/hsa-miR-376b-5p/hsa-miR-487b-5p/hsa-miR-323a-5p/hsa-miR-1185-5p/hsa-miR-541-3p/hsa-miR-329-5p/hsa-miR-134-3p/hsa-miR-495-5p/hsa-miR-410-5p/hsa-miR-496/hsa-miR-758-5p/hsa-miR-889-5p/hsa-miR-381-5p/hsa-miR-494-5p/hsa-miR-300/hsa-miR-541-5p/hsa-miR-655-5p/hsa-miR-376c-5p/hsa-miR-656-5p/hsa-miR-544a/hsa-miR-412-3p/hsa-miR-323b-5p/hsa-miR-1193/hsa-miR-380-5p"	"0/0/0/0/0/0/0/0/0/0/0/0/0.002/0/0/0/0/0/0/0/0/0/0/0/0.002/0/0/0/0/0/0/0/0/0/0/0/0.001/0.003/0.001/0/0.001/0/0/0/0.003/0/0.001/0.005/0/0/0.037/0.009/0.047/0.005/0/0.009/0.026/0.06/0.009/0.644/0.004/0.025/0.552/0.03/0.103/0.182/0.061/0.008/0.229/0.238/0.133/0.169"	"-1.92697808046686/-1.84861648196343/-1.6612373880088/-1.89851900989809/-1.85653161664604/-1.59054237988803/-1.75743901637657/-1.60592507299956/-1.62142266995255/-1.47535759606223/-1.3423241221332/-1.62190857636906/-1.47553544039457/-1.44934408439727/-1.55110623878602/-1.62877875893452/-1.47301391036247/-1.36242143794775/-1.36456178531885/-1.40364073428904/-1.51324228935214/-1.47861051387351/-1.4878126506569/-1.40582889898438/-1.1728389567835/-1.30112095783946/-1.49552565912798/-1.27888179097322/-1.17399776600757/-1.28869309029337/-1.49265276008337/-0.925518266431561/-1.5389763945771/-1.41096204856145/-1.56846738462585/-1.02648995091056/-1.13768699184033/-1.17637140402773/-1.03828338466196/-1.1929733921255/-0.953736977491501/-1.27993694742934/-0.735495788291798/-0.822922299804226/-1.25731659280126/-1.0075351637584/-0.912171785666994/-0.563136268296959/-1.02025568925887/-0.491259307838151/-0.553711565177788/-0.762645440401606/-0.199818027556872/-0.262556117829382/-0.592177298871714/-0.409686796164705/-0.132636365303931/-0.484000358445995/-0.325083569945196/-0.0794926597859976/-0.513939596248258/-0.144960317293247/-0.0390414571357929/-0.176394573630106/-0.0759322729549259/-0.202618496751679/-0.096723982838205/-0.269364065361643/-0.0552024449636538/-0.0493240278774859/-0.0322312663202914/-0.0328895375789714"
"cl349_chr14"	"2"	"up"	"MI0000787/MI0003675/MI0000744/MI0000788/MI0006656/MI0000807/MI0003757/MI0001725/MI0001726/MI0003134/MI0014205/MI0005565/MI0003135/MI0000776/MI0003529/MI0003676/MI0002466/MI0000784/MI0005525/MI0003844/MI0003821/MI0000789/MI0003530/MI0003514/MI0005540/MI0003515/MI0003677/MI0002471/MI0000790/MI0000474/MI0003761/MI0002469/MI0014206/MI0000480/MI0003136/MI0000785/MI0005539/MI0001735/MI0002464/MI0000777/MI0002465/MI0003678"	"hsa-miR-381-3p/hsa-miR-379-5p/hsa-miR-409-3p/hsa-miR-411-5p/hsa-miR-543/hsa-miR-654-3p/hsa-miR-323a-3p/hsa-miR-495-3p/hsa-miR-487b-3p/hsa-miR-134-5p/hsa-miR-889-3p/hsa-miR-382-5p/hsa-miR-323b-3p/hsa-miR-485-3p/hsa-miR-409-5p/hsa-miR-329-3p/hsa-miR-369-3p/hsa-miR-758-3p/hsa-miR-485-5p/hsa-miR-376c-3p/hsa-miR-411-3p/hsa-miR-654-5p/hsa-miR-369-5p/hsa-miR-382-3p/hsa-miR-539-3p/hsa-miR-410-3p/hsa-miR-379-3p/hsa-miR-656-3p/hsa-miR-376a-3p/hsa-miR-1185-1-3p/hsa-miR-299-5p/hsa-miR-412-5p/hsa-miR-655-3p/hsa-miR-487a-3p/hsa-miR-299-3p/hsa-miR-1197/hsa-miR-377-3p/hsa-miR-154-5p/hsa-miR-487a-5p/hsa-miR-377-5p/hsa-miR-539-5p/hsa-miR-380-3p/hsa-miR-1185-2-3p/hsa-miR-376a-5p/hsa-miR-154-3p/hsa-miR-376b-3p/hsa-miR-494-3p/hsa-miR-668-3p/hsa-miR-376b-5p/hsa-miR-487b-5p/hsa-miR-323a-5p/hsa-miR-1185-5p/hsa-miR-541-3p/hsa-miR-329-5p/hsa-miR-134-3p/hsa-miR-495-5p/hsa-miR-410-5p/hsa-miR-496/hsa-miR-758-5p/hsa-miR-889-5p/hsa-miR-381-5p/hsa-miR-494-5p/hsa-miR-300/hsa-miR-541-5p/hsa-miR-655-5p/hsa-miR-376c-5p/hsa-miR-656-5p/hsa-miR-544a/hsa-miR-412-3p/hsa-miR-323b-5p/hsa-miR-1193/hsa-miR-380-5p"	"0.104/0.083/0.101/0.164/0.024/0.004/0.224/0.042/0.033/0.033/0.475/0.199/0.291/0.079/0.307/0.058/0.144/0.073/0.058/0.096/0.036/0.078/0.022/0.048/0.181/0.163/0.037/0.201/0.006/0.023/0.03/0.726/0.062/0.141/0.015/0.478/0.093/0.065/0.079/0.007/0.037/0.051/0.203/0.315/0.097/0.025/0.599/0.438/0.279/0.481/0.402/0.067/0.631/0.849/0.075/0.048/0.047/0.435/0.275/0.55/0.042/0.018/0.436/0.104/0.742/0.258/0.286/0.048/0.705/0.3/0.325/0.859"	"0.237816025173793/0.496280805936113/0.473603542432356/0.0593733160246387/0.55485298695873/0.440887145949113/0.036409373757017/0.0951714974940904/-0.331399047250586/0.528261746009184/-0.110266361320345/0.139575949876369/-0.139154182845716/0.197172818080177/0.039724524204157/0.110058763382696/0.0971760911443029/0.433528395544677/0.129349719547926/-0.185070228276182/0.399574874619363/0.299308280026435/0.0294154589608509/-0.00622797953976809/-0.296264638630595/-0.0840498827837005/0.384198998399416/-0.149288913356972/0.00471548562190007/0.35852350342822/0.129311950867138/0.0284419503130026/-0.0442654585054525/-0.225186836686788/0.380437752402837/-0.204068959201782/0.00606733104769907/0.0781023766980668/-0.168360361915243/0.0140269781527786/-0.516795946446203/-0.246478238964204/0.108006407580723/-0.293619243781718/0.0618334922488844/-0.04884645054759/-0.0895207503438232/-0.222382479577531/-0.185788127786695/-0.0710421255214583/-0.180603571056628/-0.363100563051839/0.0501293208625452/-0.00295438753395046/-0.0532187944788426/-0.158343777832112/0.0558618778203177/-0.121115439464416/-0.128368445149183/-0.0516404335844768/-0.35705302349893/0.0778966736497681/-0.023976280211343/-0.127251260538727/-0.00511389374004751/-0.164640777706532/-0.0269818692395169/-0.184390058067926/-0.0130928304743399/0.0203821136774618/-0.0199550839527684/-0.00462609546640007"
"cl349_chr14"	"2"	"down"	"MI0000787/MI0003675/MI0000744/MI0000788/MI0006656/MI0000807/MI0003757/MI0001725/MI0001726/MI0003134/MI0014205/MI0005565/MI0003135/MI0000776/MI0003529/MI0003676/MI0002466/MI0000784/MI0005525/MI0003844/MI0003821/MI0000789/MI0003530/MI0003514/MI0005540/MI0003515/MI0003677/MI0002471/MI0000790/MI0000474/MI0003761/MI0002469/MI0014206/MI0000480/MI0003136/MI0000785/MI0005539/MI0001735/MI0002464/MI0000777/MI0002465/MI0003678"	"hsa-miR-381-3p/hsa-miR-379-5p/hsa-miR-409-3p/hsa-miR-411-5p/hsa-miR-543/hsa-miR-654-3p/hsa-miR-323a-3p/hsa-miR-495-3p/hsa-miR-487b-3p/hsa-miR-134-5p/hsa-miR-889-3p/hsa-miR-382-5p/hsa-miR-323b-3p/hsa-miR-485-3p/hsa-miR-409-5p/hsa-miR-329-3p/hsa-miR-369-3p/hsa-miR-758-3p/hsa-miR-485-5p/hsa-miR-376c-3p/hsa-miR-411-3p/hsa-miR-654-5p/hsa-miR-369-5p/hsa-miR-382-3p/hsa-miR-539-3p/hsa-miR-410-3p/hsa-miR-379-3p/hsa-miR-656-3p/hsa-miR-376a-3p/hsa-miR-1185-1-3p/hsa-miR-299-5p/hsa-miR-412-5p/hsa-miR-655-3p/hsa-miR-487a-3p/hsa-miR-299-3p/hsa-miR-1197/hsa-miR-377-3p/hsa-miR-154-5p/hsa-miR-487a-5p/hsa-miR-377-5p/hsa-miR-539-5p/hsa-miR-380-3p/hsa-miR-1185-2-3p/hsa-miR-376a-5p/hsa-miR-154-3p/hsa-miR-376b-3p/hsa-miR-494-3p/hsa-miR-668-3p/hsa-miR-376b-5p/hsa-miR-487b-5p/hsa-miR-323a-5p/hsa-miR-1185-5p/hsa-miR-541-3p/hsa-miR-329-5p/hsa-miR-134-3p/hsa-miR-495-5p/hsa-miR-410-5p/hsa-miR-496/hsa-miR-758-5p/hsa-miR-889-5p/hsa-miR-381-5p/hsa-miR-494-5p/hsa-miR-300/hsa-miR-541-5p/hsa-miR-655-5p/hsa-miR-376c-5p/hsa-miR-656-5p/hsa-miR-544a/hsa-miR-412-3p/hsa-miR-323b-5p/hsa-miR-1193/hsa-miR-380-5p"	"0.104/0.083/0.101/0.164/0.024/0.004/0.224/0.042/0.033/0.033/0.475/0.199/0.291/0.079/0.307/0.058/0.144/0.073/0.058/0.096/0.036/0.078/0.022/0.048/0.181/0.163/0.037/0.201/0.006/0.023/0.03/0.726/0.062/0.141/0.015/0.478/0.093/0.065/0.079/0.007/0.037/0.051/0.203/0.315/0.097/0.025/0.599/0.438/0.279/0.481/0.402/0.067/0.631/0.849/0.075/0.048/0.047/0.435/0.275/0.55/0.042/0.018/0.436/0.104/0.742/0.258/0.286/0.048/0.705/0.3/0.325/0.859"	"0.237816025173793/0.496280805936113/0.473603542432356/0.0593733160246387/0.55485298695873/0.440887145949113/0.036409373757017/0.0951714974940904/-0.331399047250586/0.528261746009184/-0.110266361320345/0.139575949876369/-0.139154182845716/0.197172818080177/0.039724524204157/0.110058763382696/0.0971760911443029/0.433528395544677/0.129349719547926/-0.185070228276182/0.399574874619363/0.299308280026435/0.0294154589608509/-0.00622797953976809/-0.296264638630595/-0.0840498827837005/0.384198998399416/-0.149288913356972/0.00471548562190007/0.35852350342822/0.129311950867138/0.0284419503130026/-0.0442654585054525/-0.225186836686788/0.380437752402837/-0.204068959201782/0.00606733104769907/0.0781023766980668/-0.168360361915243/0.0140269781527786/-0.516795946446203/-0.246478238964204/0.108006407580723/-0.293619243781718/0.0618334922488844/-0.04884645054759/-0.0895207503438232/-0.222382479577531/-0.185788127786695/-0.0710421255214583/-0.180603571056628/-0.363100563051839/0.0501293208625452/-0.00295438753395046/-0.0532187944788426/-0.158343777832112/0.0558618778203177/-0.121115439464416/-0.128368445149183/-0.0516404335844768/-0.35705302349893/0.0778966736497681/-0.023976280211343/-0.127251260538727/-0.00511389374004751/-0.164640777706532/-0.0269818692395169/-0.184390058067926/-0.0130928304743399/0.0203821136774618/-0.0199550839527684/-0.00462609546640007"
